Track ID,Track name,Artist name,Popularity,Release year,Category,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,duration
3xcowyZcJ3GdOpqKhvSIpE,Pop,The Aluminum Group,13,2013,Pop,0.84,0.503,1,-9.538,1,0.0304,0.0157,0.179,0.0947,0.811,120.035,audio_features,3xcowyZcJ3GdOpqKhvSIpE,spotify:track:3xcowyZcJ3GdOpqKhvSIpE,https://api.spotify.com/v1/tracks/3xcowyZcJ3GdOpqKhvSIpE,https://api.spotify.com/v1/audio-analysis/3xcowyZcJ3GdOpqKhvSIpE,207160,4,3.45
7kbWNPOLYVbJm5zkTinG97,BÖLÜM SONU,Güneş,62,2023,Pop,0.448,0.633,5,-8.772,0,0.09,0.527,3.31e-05,0.107,0.324,129.179,audio_features,7kbWNPOLYVbJm5zkTinG97,spotify:track:7kbWNPOLYVbJm5zkTinG97,https://api.spotify.com/v1/tracks/7kbWNPOLYVbJm5zkTinG97,https://api.spotify.com/v1/audio-analysis/7kbWNPOLYVbJm5zkTinG97,161025,5,2.68
6LpeFziR9u7o4uoVT2Vgu2,Pop,Brazil,9,2021,Pop,0.816,0.533,8,-10.843,1,0.145,0.0124,0.0391,0.137,0.452,95.428,audio_features,6LpeFziR9u7o4uoVT2Vgu2,spotify:track:6LpeFziR9u7o4uoVT2Vgu2,https://api.spotify.com/v1/tracks/6LpeFziR9u7o4uoVT2Vgu2,https://api.spotify.com/v1/audio-analysis/6LpeFziR9u7o4uoVT2Vgu2,144354,4,2.41
2n4AwQls3F6atW1Av1sLIM,poppy,knock on wood,57,2024,Pop,0.743,0.174,7,-13.455,1,0.0577,0.87,0.672,0.076,0.0466,79.986,audio_features,2n4AwQls3F6atW1Av1sLIM,spotify:track:2n4AwQls3F6atW1Av1sLIM,https://api.spotify.com/v1/tracks/2n4AwQls3F6atW1Av1sLIM,https://api.spotify.com/v1/audio-analysis/2n4AwQls3F6atW1Av1sLIM,153292,4,2.55
2XH5hLA1esCoAVoDYNiEBb,Pop,Shillaly Brothers,6,2010,Pop,0.399,0.861,7,-5.883,1,0.0531,0.0943,0.0,0.241,0.509,113.084,audio_features,2XH5hLA1esCoAVoDYNiEBb,spotify:track:2XH5hLA1esCoAVoDYNiEBb,https://api.spotify.com/v1/tracks/2XH5hLA1esCoAVoDYNiEBb,https://api.spotify.com/v1/audio-analysis/2XH5hLA1esCoAVoDYNiEBb,240747,1,4.01
1WOMvLTxNyayalobISQKPA,POP!,Adanna Duru,55,2022,Pop,0.896,0.493,6,-7.893,0,0.139,0.04,0.01,0.112,0.434,107.032,audio_features,1WOMvLTxNyayalobISQKPA,spotify:track:1WOMvLTxNyayalobISQKPA,https://api.spotify.com/v1/tracks/1WOMvLTxNyayalobISQKPA,https://api.spotify.com/v1/audio-analysis/1WOMvLTxNyayalobISQKPA,196064,4,3.27
2riCgcyEdw3b710sgYhMQI,Pop,George Makridis,11,2020,Pop,0.751,0.448,11,-10.561,0,0.032,0.117,0.0,0.214,0.774,129.938,audio_features,2riCgcyEdw3b710sgYhMQI,spotify:track:2riCgcyEdw3b710sgYhMQI,https://api.spotify.com/v1/tracks/2riCgcyEdw3b710sgYhMQI,https://api.spotify.com/v1/audio-analysis/2riCgcyEdw3b710sgYhMQI,167913,4,2.8
21YxK0klhpfLW8budkJaMF,Lust For Life,Iggy Pop,64,1977,Pop,0.383,0.97,9,-5.638,1,0.0435,0.0276,0.0,0.0942,0.62,101.603,audio_features,21YxK0klhpfLW8budkJaMF,spotify:track:21YxK0klhpfLW8budkJaMF,https://api.spotify.com/v1/tracks/21YxK0klhpfLW8budkJaMF,https://api.spotify.com/v1/audio-analysis/21YxK0klhpfLW8budkJaMF,313926,4,5.23
61xOE92eZNF9Q9BddvHYtP,Pop,JayJayMf,9,2022,Pop,0.721,0.671,1,-6.683,1,0.111,0.00129,2.97e-06,0.749,0.154,150.136,audio_features,61xOE92eZNF9Q9BddvHYtP,spotify:track:61xOE92eZNF9Q9BddvHYtP,https://api.spotify.com/v1/tracks/61xOE92eZNF9Q9BddvHYtP,https://api.spotify.com/v1/audio-analysis/61xOE92eZNF9Q9BddvHYtP,101906,4,1.7
5GUz1LkyUwjMxC5aC1H5zW,Slut Pop,Kim Petras,59,2022,Pop,0.908,0.455,2,-3.282,1,0.0746,0.00661,0.00217,0.25,0.763,131.059,audio_features,5GUz1LkyUwjMxC5aC1H5zW,spotify:track:5GUz1LkyUwjMxC5aC1H5zW,https://api.spotify.com/v1/tracks/5GUz1LkyUwjMxC5aC1H5zW,https://api.spotify.com/v1/audio-analysis/5GUz1LkyUwjMxC5aC1H5zW,117252,4,1.95
